Date,SPX,AAPL,ADBE,ADI,ADSK,AKAM,AMAT,AMD,ANSS,APH,ATVI,AVGO,CDNS,CERN,CRM,CSCO,CTSH,CTXS,EA,FFIV,FLIR,FTNT,GLW,GRMN,HPQ,IBM,INTC,INTU,IPGP,IT,JNPR,KLAC,LDOS,LRCX,MCHP,MSFT,MSI,MU,MXIM,NTAP,NVDA,ORCL,QCOM,SNPS,STX,SWKS,TEL,TTWO,TXN,TYL,VRSN,WDC,XLNX,XRX,IXN,IGM,IGV,XNTK,XLK,XSD,VGT,RYT,XSW
2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-25,0.07899072829193399,-0.05036267829895651,-0.02705663048592275,0.007277698922036529,-0.17139564660187032,-0.0017945862657821699,0.10217552352497357,0.3341013866027919,-0.03188559142307798,-0.22140188455330578,1.2587745594037354,-0.3211150517871559,-0.03137969440136144,-0.6551314626193874,-0.07473184383472352,0.10609221417321263,-0.396597256530539,-0.19738857192014997,-0.5469599108500115,0.02247517573531391,0.0016566492652028645,-0.027601309290730375,0.2455778705569554,-0.9413787479105464,0.1711361058525572,-0.7856963705073446,0.49947287941862056,0.09617369056166152,-0.29036953716016944,0.14983917937240226,0.0452942206702388,0.30144633494347484,0.20722750297689804,0.03225217968247702,-0.31510806209282566,0.3050216900145514,0.20031552818423481,-0.28989683914182934,0.16620335070357733,0.5421759552761447,-0.026390391101150813,-0.15476914725115734,0.22443798016213684,0.003185513544741537,-0.31074031759001774,0.1453300722978951,0.04939046493506656,-0.11417629311401344,0.4905019297836909,0.29052803491567536,0.016039869030143847,-0.012614269906684183,0.4983925624955202,0.5186563256501202,0.2920984619491638,0.2515263588434865,0.04862803659517171,-0.8597223810509055,0.2086618498334973,0.2450839038316909,0.18988290368458483,-0.14493996949231092,-0.9630922505762928
2012-06-26,-0.5215721915283869,0.007895278917145145,-0.23868031803670164,0.8327180853512411,-0.019665738411632674,-0.13574783236819016,-0.06366114263436734,-0.09670846944040706,-0.025270307079815698,0.11074361555381536,-1.1097956561775597,-0.006848406074131464,-0.15737085704731305,-0.3496567493702229,-0.1300853722418359,-0.06474803657155288,0.45080874944562915,-0.32202455340841823,0.41194161945240476,0.02488595125020164,-0.28904231461940577,-0.04307388889569438,0.08714482251009915,-0.01661875434188955,0.04374572606882309,0.5002947644120072,0.1250438415245446,-0.312787418126907,-0.5442716124299306,0.059735588166682875,0.2521937086856171,-0.29411213517777046,-0.11024783141754096,-0.2085602554831468,-0.05322652689767175,-0.09434567259158384,-0.41086887669758243,-0.16089117506908499,-0.07762789070966282,-0.22137951185672858,0.2209720336213448,-0.08808486215601666,-0.1254434796808455,-0.014137516213631409,-0.3387457025548336,0.5277178631893696,0.6909907870361239,0.48442977725667596,0.01646262645631987,0.36005518549515825,-0.22771061931727285,-0.12815326738025237,-0.23545052013625756,-0.1620441529142534,-0.09162215563093762,-0.6016673762160768,0.28154046764269175,0.1141889999695552,-0.14720672322847542,0.23220253403464888,-0.12245086838339918,0.5497729123249335,-0.48903032702419047
2012-06-27,-0.454806938564276,0.10573553382716437,-0.05779909041533724,-0.34666681936463617,-0.07777876495334521,-0.0036384221743789463,-0.26950316844894917,0.02371033110038734,0.41941379368643755,-0.0508869322156015,-0.03601882544169931,0.0058238212267350134,0.5701110953564185,-0.6296147481945152,0.15302574590240642,-0.11873016532786412,-0.1573810007544121,0.20125168931030224,-0.14920204751528204,-0.15932838915430875,0.17376040854744684,-0.6045742653801154,-0.0724129219753588,-0.23744017655261668,0.003502360819046641,0.012558643321191448,-0.018317465142934072,0.01016995980585847,-0.366653090868696,-0.5209389014116647,-0.1310911874600121,-0.2220485250213674,0.3578335502355857,0.006010221073698361,0.08985988976848987,0.09141279688950385,0.3300067125476077,-0.12301233206818729,-0.08049417210939863,0.5500075298040494,0.5518474000361179,-0.05921378961231733,-0.19200382748479394,-0.07252986123738636,-0.05715786938969715,-0.17147465609534587,0.7792545730931472,0.11394669820856027,0.28638974250758076,0.3780686665864266,0.3237505144315978,-0.2733331576374558,-0.37167957460053247,-0.002707246022927535,0.15139102583541897,0.8089572584136802,-0.036472324745711715,-0.2592493092806991,0.2338271345236258,-0.3857767759770799,0.4243848598737131,-0.8703074821935172,0.3649227244101783
2012-06-28,-1.0187377474725654,-0.05022655816760935,-0.2547201023688831,0.4895232209865068,0.020168566045896272,-0.08660796884396056,-0.5797394430656718,-0.14030997082898625,0.646331659254906,0.029380546118180074,0.4014547930179163,-0.00120693340878175,-0.687757905876402,0.5743628525884744,0.34694020976256323,-0.028893912174629104,0.28076306150547875,0.354073314968205,0.02565927121522164,0.40553135789663625,0.2245330617227448,0.4613038849058479,-0.21534262385644815,-0.019864900168670683,0.024339402852462874,0.026719219117680527,0.12791933380937698,-0.040395448752788464,-0.2564408116741171,0.35843625493623293,-0.4463969505845384,0.024579429068184555,0.2357873340588465,0.14603488241961277,-0.09421623463390472,-0.01814024732198908,-0.06937360749234685,-1.3860326122559516,-0.18851602809721157,-0.11047434285668485,0.6600081169435367,-0.14545287868533285,-0.05839584875065914,-0.1914409016469704,0.39811127593842693,-0.4305837386941246,-1.6498553659181554,-0.05794129067654438,-0.28202732718178175,-0.22212909531582045,0.2123475081840489,0.2882662201114558,-0.8374297013295335,-0.597780811069054,-0.5222677061070735,-0.35222807346031826,-0.06907125817326179,1.346739220648515,-0.2419246308687191,-0.5474256868081783,-0.11755201031774482,2.741125208469618,0.25321143169366256
2012-06-29,0.18017224070167367,0.2685543269158016,0.03205241672538411,0.3541498171797846,-0.0795559883310961,-0.07329965285830625,0.44357383500295733,0.023562903364888345,0.2505519050434872,-0.06331943689009631,-1.0312201651395536,0.162769026380938,-0.09813155045848433,0.996957466227727,-0.1678079360161597,0.10078945270650887,-0.8304437920955441,-0.315387299428824,0.07284089314536428,-0.30285137459605654,0.046073795240916676,-0.2581917142344538,0.18295380568693215,-0.3860474716130792,-0.0003161804521948225,0.12026491123536523,-0.0008702997514883863,-0.18940232844783103,1.2300274499794246,0.656735415927785,-0.5251382453205479,0.030124722076264335,-0.19221538735881305,-0.03958947784187427,0.14728108018024566,0.2379746495601757,0.3867322377673982,-0.0724277537645278,0.1086198235282765,0.5163983046219559,-0.11586844994780378,0.3027412267532561,0.1948991404799617,0.15146409297340568,-0.1682174604239318,0.3474353103165677,0.7999546885637254,0.23936918973991353,0.8751924874351127,-0.4402691015876351,-0.01719244163518058,-0.32054840055016176,0.18274094394142712,0.3767557739713069,0.2263501651711892,0.7646417153506432,-0.06681903339270594,-0.36281102351952277,0.4499038455966836,0.7192884390020261,0.4005624172501882,-1.8139734137168992,-1.1380210550654142
2012-07-02,-0.18087012002386557,-0.33497416352425946,0.4286859201980399,1.2839281310384472,0.328117983562575,0.10952193226501117,0.9955321855718795,-0.09002417004148172,0.07736191010512353,-0.10890992268408521,0.26770705191918615,0.21138601719650413,-0.9083509631276396,-0.140809841331048,-0.11440423631254691,-0.03075881645772559,0.25851005653899933,0.13822664708935564,0.1363266036806146,0.2533452505107359,-0.09560652117627963,-0.5687865298673459,0.05100528604998546,-0.046843777129009556,0.016943833611567406,-0.031140104430712356,0.030117810745746165,-0.10631088615472291,0.2220621378858546,-2.81875932654362,0.9593398952261273,0.34942793263666694,-0.09007082947994738,-0.09014991330661724,0.13546797429204183,0.08945488072936146,0.8003964484382925,-0.7025907070519405,0.12334852973971883,-0.4231600394745365,-0.8003159781844521,0.01736721344730552,0.0009894740977068885,-0.005072398101302474,-0.03141438884046571,0.1646863649330125,0.405482587540707,0.03512433282024603,0.8067913026403157,-0.439408464320341,0.006186836388019703,0.3230021224820131,0.6699921769133335,0.07497684460640384,-0.055487068620319054,-0.40788979570027406,0.013724792666357906,-0.04521852379278193,-0.7237902032490672,0.24071929743602302,-0.5474005102908229,-0.012694898743150662,0.21783676691315373
2012-07-03,0.2870388258417935,-0.0213494094451277,0.08070470283424827,0.7490530245590827,0.21655633075070357,-0.13334983014362176,-0.3406134348011162,-0.6505713891531251,-0.1847101943430328,-0.009378813918584887,-1.9831790192093055,0.1222168275710214,-0.4747613684256038,-0.09196228064197769,-0.11330207281594305,-0.020972863294337084,0.08276540399530331,0.025130920915171016,-0.4815569187780247,-0.28599269421818707,0.42196371350780587,-0.3692421027185214,-0.0465681474462779,-0.012501026940455132,0.0041522516957284705,0.4724848506812826,0.04385013138028015,0.108833260349871,-0.6469838236937678,0.21471046590715226,-0.3823846587884219,0.4476742280049777,-0.09044479471128712,-0.14821302119998842,-0.01789529813520862,0.0742994257406834,-0.5825447853159695,-0.37739904637948923,-0.02259553737605051,-0.05715375106789918,0.29601351131702297,-0.12865987353577893,-0.03351901171680803,0.1730051658412092,0.056081518513874946,0.13743168557804133,-0.3432550866680364,-0.9586385499965241,0.09681077708322407,-0.274311469141054,-0.16732490883198414,-0.48186592010598756,0.12523204708479185,-0.005302956781713594,0.09697426602133766,0.5169060849088992,0.04103231591778999,-0.23089392906714437,0.16531199145331696,-0.0013656416958046343,0.043442627853650356,-0.20927099012139888,-0.24296099807916435
2012-07-05,1.05567755881934,-0.4325412352321707,0.0351002327322506,-0.25118755097012696,0.030661099760251023,-0.024483363055201268,0.9171347905359162,0.6332073515102358,-0.08412550500060735,-0.02612832289941023,1.6988552177069085,0.0754173268355515,-0.21041003024729993,-0.4627474149428507,-0.16241680391927685,-0.11097458565737094,-0.272205515694337,0.7092580129800882,0.4439838365340844,-0.21093947725163753,0.18817509168881558,0.08724610230514256,0.14802372287292997,0.8429670947348806,0.02223192861359942,0.2692665078065505,0.3303263537221105,0.21436553997590002,-0.03251184403227111,-1.4486542446838848,-0.08461897214315754,0.1502537127147291,-0.5527917501779089,-0.5190952554805071,0.011193857209560771,0.1289955240831141,0.4120613012960489,0.17940418771539363,-0.21694146693954383,0.07288311908127955,-0.2662475894899106,-0.12630151415993854,-0.01868599730042586,0.04042346332661816,-0.02262811160127241,0.12488190847678209,-0.2864907729274635,0.7089464947683171,0.2415911353186277,-0.04603658549142328,0.017291861212521988,0.13741038354070878,0.11938563356166203,0.5114848229019483,-0.09279111345149393,-0.0610490059088078,0.11443423569620151,0.29346503283837383,0.13730105790791686,-0.12015005216226668,-0.3895509008020198,-0.033002984148696554,-0.1619548241877635
2012-07-06,-1.5128875210015271,-0.5314097741295037,0.3831172436226098,-0.21387500365587372,0.35863386679845005,-0.0024996911293804734,-0.23845545072489438,-0.8433670757883304,1.4938203076302028,-0.05851204290419926,-0.7525584035513463,-0.10325595322580798,0.15030002918855628,0.41496553643608125,0.3186610156526444,0.12747989825719833,0.25975457424504245,0.775082341534699,-0.17676543048966256,0.6002627396691906,0.09353365814467776,1.400332101986222,-0.22142448053180663,-0.6272012241497958,-0.017097936587921088,0.17586245792894054,-0.2983469107922783,0.2667281020781849,-0.1602346430475221,-0.044966823537314,0.05148870377781855,1.0387087456722492,-0.2774796759232062,-0.24214254322383316,0.07656334384552366,-0.10989870729097949,-0.08094166600406053,-0.40265177780326816,0.212500103390575,-0.12124476192841178,0.307496577659629,0.04574456542629663,-0.09261246254387143,0.070805108644034,0.13094802501093353,-0.1873647972753436,0.10052633518524544,-0.8577678205562217,-0.5027871100748983,0.08974686879043653,0.11946639286827339,-0.7589515689164121,0.02822167932954589,-0.4844915389716693,-0.6320053527531696,-1.646377810511761,-0.4460175345308111,0.021569621059667886,-1.240582985684945,-0.216357028802837,-1.2150513525310789,0.40001023399529995,1.0408387426019032
2012-07-09,-0.5069534742532358,-0.5036647248429169,0.2533432734787377,0.14369729001470388,0.15337033547636442,0.4605959478356702,-0.3624423126739985,0.21887573197016152,0.8202788268806547,-0.04607892609280886,-0.5174970786095205,0.3654219551630216,0.034886616020182504,0.6029725575885457,0.46066387637978423,0.01088827308502603,-0.18076898233744648,0.028970675963114586,-0.19626987937662047,0.1245457661070575,-0.23234905109671322,0.13749948192601275,0.04615733870343321,-0.5268912289468041,0.05828152318092438,0.27873348997712916,-0.20967740044804942,0.029444739556134726,0.3267075376558195,-0.1365423535615946,0.4815018882690074,0.00963937672863726,-0.06168673721145672,0.04568204188819608,0.08248265836223118,0.0334298896149052,-0.04438951511156714,0.47431582320411075,0.043506337554564574,-0.13751886673996724,-0.08502553840695733,0.02957598871913186,0.1871650190515526,0.008088068291093837,0.3681020113433803,-0.31839965049374924,-0.27154838424496897,0.09220250347259358,0.04553834209583429,-0.1909860409579641,-0.12202536788528187,-0.41379061223565705,-0.18211193639757706,0.43342298557336045,-0.30758020556630744,-0.2473912496939411,-0.6922493871288273,0.0044488730216946095,-0.6144061710426113,0.15729474885270595,-0.5004539884087187,0.8530161162366042,-0.7878555728452779
2012-07-10,-0.12676129829514002,-0.12950158653168872,-0.887504092309159,-0.590396903062243,-0.07934958110802576,-0.12468580258542182,0.790828115809458,1.977568293385775,-0.07499090323931597,0.0026743001633593236,-0.6963174026699012,-0.501594705944362,-0.04797409063793116,-0.10682904916334504,-0.0170205658701171,-0.005265312959196052,0.05652786412732868,-0.380114855390547,0.3346789012530835,-0.24925239886447698,-0.15628373978979515,-0.42098339372691834,-0.08763916189403935,0.21683514687175512,0.020363989918962253,0.554668670881169,0.3735576829819062,-0.43149150487780696,-0.08015425314429742,0.03013934243341999,0.17237326683750623,-0.4860621208299788,0.33289043320886996,0.20706044762020198,-0.049582568255964576,-0.07378892548894908,0.2209728735401807,0.5270101221223691,-0.20311504656779358,0.18926160658008429,-0.261753082189086,0.10715696896871295,0.31569306408191694,0.28227810026011263,0.04109698425961029,0.12251608574354338,0.12436032725596226,-0.20597845020338526,-1.0391147414842596,-0.33098334332272283,0.020593454911275122,-0.45638513727849395,-0.2607001722210468,0.13005313595429188,-0.3561249339904178,-0.2555562448189776,0.38167101185071844,-0.4086912696003957,-0.02509593309997985,0.3349918756063827,-0.15045286722890827,0.5221707573077228,0.5826061516155299
2012-07-11,-0.3325579654776659,0.0980369436948463,0.23224401129278577,-0.8575579752859303,-0.0841492273259476,0.08411415493255602,0.4941474585700725,0.1355351094938382,0.4850103805512446,0.29997993099506604,0.5912191694974581,0.09445494646686371,-0.09867355157644184,-0.6699245097718487,0.18827262598620478,0.0333511149201846,-0.36278303383246174,0.2035718875046251,-0.6425968447163524,-0.4215904113319515,0.15274852441634046,0.013430147383782565,0.1294070387003936,-0.16998704548975205,0.5980962501208041,0.17133858031537536,-0.05079176831999413,-0.03828927763131372,0.7341255386733808,-0.7165719788690242,0.10712489855815936,-0.2053384513259206,0.3394907621118872,-0.5410907652830272,-0.0796299375422859,0.5165863954441978,0.4020806245036803,-0.2544422228003527,0.09125179881643604,0.10253203670849538,-0.256728254873583,0.15660067450915954,-0.18144081178933968,0.051168765403291835,0.060489639196329006,-0.1236440662235372,-0.7452057743721148,-0.41276296610610896,-0.11953729180795618,0.08376687911336908,-0.05374035273950944,0.14084671787743172,-0.11328423474837278,-0.35901336222289915,-0.13655460042204548,0.4366013688345015,-0.0649154434011205,0.6703372010998505,0.3490887612037896,-0.08346854657881046,0.5301380849651433,-1.1381486650979327,-0.48120876231364274
2012-07-12,-0.04209940745104343,0.05778220441003022,-0.3956593798773833,0.7388343816945891,-0.5453058291353364,-0.20948311146108556,0.504901226349072,-0.3097315372858884,-0.6264682322455091,-0.13601495390960483,-0.04086094596793909,0.06279844089406664,0.14761483028207678,-0.1670505380294272,-0.33892249190803775,-0.12709304616158668,0.24215420330701937,-0.5525530314927233,-0.20743698730860882,-0.43052352559178003,-0.21558374810413636,-0.14066501501837647,-0.03751669194945912,0.2669051962921434,-0.062253782022043125,-0.22337259362783557,0.4412905747053449,0.1399250880945905,-0.8801437503061934,0.4416846828340869,-0.08004231269040125,-0.3691928876278815,-0.1996812403976949,0.13313030498600978,0.08162683606770237,0.5343305908379506,-0.08028517767956314,-0.014233513077827215,0.20181142293310136,0.014825534189403609,-0.12887144128240893,-0.0846168634950657,-0.025545574199732198,0.1724103218720329,0.10278465252615142,-0.5156872037993853,-0.7865509861892301,-0.2310086193745432,0.4261080167908326,-0.28422680107823056,0.08537631568237239,-0.07009517324031579,0.5462265696491029,0.9537645891005447,0.7429643525971522,1.2092714321327245,0.1275807419402618,-1.9249578511832826,0.49161843490512164,0.17807349824947652,0.3045042630001219,0.31253269075801604,-0.557667483903344
2012-07-13,-1.3000500599153215,0.06619582584934139,-0.24092540319276023,-0.5269361293156961,0.09275904112306371,-0.179413849236107,0.10801960959522007,0.2526204489165984,0.13943972439966376,-0.05431954348061591,-0.40798630280556625,0.02543992906616881,-0.03302320522509076,-0.4105006213639576,-0.19376301039646623,-0.05420796702297095,-0.6512343715098103,0.38616807895656574,0.0554579045050747,1.2558931695565623,0.2152777376557268,-0.18076169652810098,0.3056124418947494,0.10544109807608688,-0.3796776370009264,0.5347336725955423,-0.44026156982188863,0.04584488373378799,0.039812583885115556,0.2510311843835163,0.3413999231258511,0.33756763480315743,-0.29739902090722103,0.06649824984536645,-0.343688645353917,-0.6666119345125519,-0.3279081714157578,0.36990655111944365,-0.08366482119461692,-0.06429737277313029,-0.09315134831542546,-0.1932457920742043,0.38598067345578885,0.17823866196031923,0.09891968610000278,0.11460544012253579,-0.5763514881263204,0.8211356414723618,0.1499687389573712,-0.15073961660487828,0.09023015990259059,0.05102386423506939,0.24382441129818413,0.7806605095632523,-0.9367669324700116,-1.1970458618286846,0.31713298210169993,0.3350252871937408,-0.5923016580247167,0.4479030579627606,-0.5786454300581199,1.9847284893242516,0.01470934150498755
2012-07-16,0.05886983665760793,-0.16363106120673251,0.22960232575141992,0.41098062090776516,0.0285320075228106,-0.06150542679424497,0.23749463752464253,0.036520081639597426,0.2865469595372746,0.18165197461940696,-0.1768749907919048,0.22421918171379737,-0.20151717952519996,-1.5037305490704524,0.27891826988309726,0.011858811362976255,-0.6624053629107668,-0.02810795964689912,0.37541388796956565,-0.726245546109986,-0.7675016545800354,0.0722403883234152,0.028724301670680272,-0.13363341659881658,-0.028169898152606333,-0.15564421315270027,0.04087395019073486,-0.08879597466864415,0.09210924602795444,-0.19687192953418214,0.23916837800730448,-0.08816089122928442,-0.5213353312800925,0.12182602713208676,-0.06093868924609269,-0.23501072500410877,0.7665497219099369,0.2635486016817068,0.3010252761065039,0.1613685649696094,0.18176255201940872,-0.0007153536204991864,-0.2774903598317776,0.05478861765105728,0.2625635759718025,0.6641813273856848,0.3109000362615581,-0.7635406315944306,0.7655238461169525,0.36242252416686177,0.07766010462012936,-0.12996524927759695,-0.09491222527193648,-0.05246135615244423,0.13205255309922595,0.7259107949667682,-0.09449739641628355,-0.3071848407951346,-0.27780834746015637,0.16454379739275596,-0.10382978331615242,-2.5343387909591866,0.34171851368341
